seat,name
NC-5,Virginia Foxx
NC-6,Addison McDowell
NC-7,David Rouzer
NC-8,Mark Harris
NC-9,Richard Hudson
NC-10,Pat Harrigan
NC-11,Charles Marion Edwards
NC-12,Alma Adams
NC-13,Brad Knott
NC-14,Tim Moore
ND-AL,Julie Fedorchak
NE-1,Mike Flood
NE-2,Don Bacon
NE-3,Adrian Smith
NH-1,Chris Pappas
NH-2,Maggie Goodlander
NJ-1,Donald Norcross
NJ-2,Jeff Van Drew
NJ-3,Herb Conaway Jr.
NJ-4,Chris Smith
NJ-5,Josh Gottheimer
NJ-6,Frank Pallone
NJ-7,Thomas Howard Kean Jr.
NJ-8,Robert Menendez Jr.
NJ-9,Nellie Pou
NJ-10,LaMonica McIver
NJ-11,Mikie Sherrill
NJ-12,Bonnie Watson Coleman
NM-1,Melanie Stansbury
NM-2,Gabe Vasquez
NM-3,Teresa Leger Fernandez
NV-1,Dina Titus
NV-2,Mark Amodei
NV-3,Susie Lee
NV-4,Steven Horsford
NY-1,Nick LaLota
NY-2,Andrew R. Garbarino
NY-3,Tom Suozzi
NY-4,Laura Gillen
NY-5,Gregory Meeks
NY-6,Grace Meng
NY-7,Nydia Velazquez
NY-8,Hakeem Jeffries
NY-9,Yvette Clarke
NY-10,Dan Goldman
NY-11,Nicole Malliotakis
NY-12,Jerry Nadler
NY-13,Adriano Espaillat
NY-14,Alexandria Ocasio-Cortez
NY-15,Ritchie Torres
NY-16,George Latimer
NY-17,Michael Lawler
NY-18,Pat Ryan
NY-19,Josh Riley
NY-20,Paul Tonko
NY-21,Elise Stefanik
NY-22,John Mannion
NY-23,Nick Langworthy
NY-24,Claudia Tenney
NY-25,Joseph Morelle
NY-26,Tim Kennedy
OH-1,Greg Landsman
OH-2,David Taylor
OH-3,Joyce Beatty
OH-4,Jim Jordan
OH-5,Bob Latta
OH-6,Michael Rulli
OH-7,Max Miller
OH-8,Warren Davidson
OH-9,Marcy Kaptur
OH-10,Mike Turner
OH-11,Shontel Brown
OH-12,Troy Balderson
OH-13,Emilia Sykes
OH-14,Dave Joyce
OH-15,Mike Carey
OK-1,Kevin Hern
OK-2,Josh Brecheen
OK-3,Frank Lucas
OK-4,Tom Cole
OK-5,Stephanie Bice
OR-1,Suzanne Bonamici
OR-2,Cliff Bentz
OR-3,Maxine Dexter
OR-4,Val Hoyle
OR-5,Janelle Bynum
OR-6,Andrea Salinas
PA-1,Brian Fitzpatrick
PA-2,Brendan Boyle
PA-3,Dwight Evans
PA-4,Madeleine Dean
PA-5,Mary Scanlon
PA-6,Chrissy Houlahan
PA-7,Ryan E. Mackenzie
PA-8,Rob Bresnahan Jr.
PA-9,Daniel Meuser
PA-10,Scott Perry
PA-11,Lloyd Smucker
PA-12,Summer L. Lee
PA-13,John Joyce
PA-14,Guy Reschenthaler
PA-15,Glenn Thompson
PA-16,Mike Kelly
PA-17,Chris Deluzio
PR-AL,
RI-1,Gabe Amo
RI-2,Seth Magaziner
SC-1,Nancy Mace
SC-2,Joe Wilson
SC-3,Sheri Biggs
SC-4,William Timmons
SC-5,Ralph Norman
SC-6,Jim Clyburn
SC-7,Russell W. Fry
SD-AL,Dusty Johnson
TN-1,Diana Harshbarger
